ticker,company,price,date
WTK,Williamson Tea Kenya Limited,140,16/10/2020
XPRS,Express Kenya Limited,4.5,16/10/2020
ABSA,Absa Bank Kenya Plc,9.62,17/10/2020
ARM,ARM Cement Limited,5.55,17/10/2020
BAMB,Bamburi Cement Limited,23.3,17/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349,17/10/2020
BERG,Crown Paints Kenya Limited,42.45,17/10/2020
BKG,Bank of Kigali Group Limited,13.75,17/10/2020
BOC,BOC Kenya Limited,57,17/10/2020
BRIT,Britam Holdings Limited,7.5,17/10/2020
C&G,Car and General (Kenya) Limited,24,17/10/2020
CABL,East African Cables Limited,1.47,17/10/2020
CARB,Carbacid Investments Limited,8.78,17/10/2020
CFC,Stanbic Holdings Limited,77,17/10/2020
CFCI,Liberty Kenya Holdings Limited,8,17/10/2020
CIC,CIC Insurance Group Limited,2.24,17/10/2020
COOP,Co-operative Bank of Kenya Limited,11.8,17/10/2020
DCON,Deacons (East Africa) Plc,0.45,17/10/2020
DTK,Diamond Trust Bank Kenya Limited,63,17/10/2020
EABL,East African Breweries Limited,163,17/10/2020
EGAD,Eaagads Limited,13.25,17/10/2020
EQTY,Equity Group Holdings Limited,34.95,17/10/2020
EVRD,Eveready East Africa Limited,0.97,17/10/2020
FAHR,STANLIB Fahari Income REIT,5.36,17/10/2020
FIRE,Sameer Africa Limited,3.5,17/10/2020
FTGH,Flame Tree Group Holdings Limited,1.3,17/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",17/10/2020
HAFR,Home Afrika Limited,0.4,17/10/2020
HFCK,Housing Finance Company Limited,3.63,17/10/2020
I&M,I&M Holdings Plc,43.5,17/10/2020
ICDC,Centum Investment Company Limited,18.3,17/10/2020
JUB,Jubilee Holdings Limited,275,17/10/2020
KAPC,Kapchorua Tea Company Limited,75,17/10/2020
KCB,KCB Bank Kenya Limited,37.2,17/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.22,17/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.24,17/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,17/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,17/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,17/10/2020
KQ,Kenya Airways Limited,3.83,17/10/2020
KUKZ,Kakuzi Limited,380,17/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",17/10/2020
LIMT,Limuru Tea Company Limited,400,17/10/2020
LKL,Longhorn Publishers Limited,4.54,17/10/2020
MSC,Mumias Sugar Company Limited,0.28,17/10/2020
NBK,National Bank of Kenya Limited,4.12,17/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,17/10/2020
NIC,NIC Bank Limited,22.95,17/10/2020
NMG,Nation Media Group,15.95,17/10/2020
NSE,Nairobi Securities Exchange Limited,8.28,17/10/2020
OCH,Olympia Capital Holdings Limited,2.14,17/10/2020
ORCH,Kenya Orchards Limited,11.05,17/10/2020
PAFR,Sanlam Kenya Plc,12.7,17/10/2020
PORT,East African Portland Cement Co. Ltd,16,17/10/2020
SASN,Sasini Tea and Coffee Limited,19,17/10/2020
SCAN,ScanGroup Limited,6.88,17/10/2020
SCBK,Standard Chartered Bank Limited,157.75,17/10/2020
SCOM,Safaricom Limited,30.1,17/10/2020
SGL,Standard Group Limited,18.1,17/10/2020
TCL,Trans Century Limited,1.53,17/10/2020
TOTL,Total Kenya Limited,23.75,17/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,15,17/10/2020
UCHM,Uchumi Supermarket Limited,0.28,17/10/2020
UMME,Umeme Limited,6.48,17/10/2020
UNGA,Unga Group Limited,30.65,17/10/2020
WTK,Williamson Tea Kenya Limited,140,17/10/2020
XPRS,Express Kenya Limited,4.5,17/10/2020
ABSA,Absa Bank Kenya Plc,9.62,18/10/2020
ARM,ARM Cement Limited,5.55,18/10/2020
BAMB,Bamburi Cement Limited,23.3,18/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349,18/10/2020
BERG,Crown Paints Kenya Limited,42.45,18/10/2020
BKG,Bank of Kigali Group Limited,13.75,18/10/2020
BOC,BOC Kenya Limited,57,18/10/2020
BRIT,Britam Holdings Limited,7.5,18/10/2020
C&G,Car and General (Kenya) Limited,24,18/10/2020
CABL,East African Cables Limited,1.47,18/10/2020
CARB,Carbacid Investments Limited,8.78,18/10/2020
CFC,Stanbic Holdings Limited,77,18/10/2020
CFCI,Liberty Kenya Holdings Limited,8,18/10/2020
CIC,CIC Insurance Group Limited,2.24,18/10/2020
COOP,Co-operative Bank of Kenya Limited,11.8,18/10/2020
DCON,Deacons (East Africa) Plc,0.45,18/10/2020
DTK,Diamond Trust Bank Kenya Limited,63,18/10/2020
EABL,East African Breweries Limited,163,18/10/2020
EGAD,Eaagads Limited,13.25,18/10/2020
EQTY,Equity Group Holdings Limited,34.95,18/10/2020
EVRD,Eveready East Africa Limited,0.97,18/10/2020
FAHR,STANLIB Fahari Income REIT,5.36,18/10/2020
FIRE,Sameer Africa Limited,3.5,18/10/2020
FTGH,Flame Tree Group Holdings Limited,1.3,18/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",18/10/2020
HAFR,Home Afrika Limited,0.4,18/10/2020
HFCK,Housing Finance Company Limited,3.63,18/10/2020
I&M,I&M Holdings Plc,43.5,18/10/2020
ICDC,Centum Investment Company Limited,18.3,18/10/2020
JUB,Jubilee Holdings Limited,275,18/10/2020
KAPC,Kapchorua Tea Company Limited,75,18/10/2020
KCB,KCB Bank Kenya Limited,37.2,18/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.22,18/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.24,18/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,18/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,18/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,18/10/2020
KQ,Kenya Airways Limited,3.83,18/10/2020
KUKZ,Kakuzi Limited,380,18/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",18/10/2020
LIMT,Limuru Tea Company Limited,400,18/10/2020
LKL,Longhorn Publishers Limited,4.54,18/10/2020
MSC,Mumias Sugar Company Limited,0.28,18/10/2020
NBK,National Bank of Kenya Limited,4.12,18/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,18/10/2020
NIC,NIC Bank Limited,22.95,18/10/2020
NMG,Nation Media Group,15.95,18/10/2020
NSE,Nairobi Securities Exchange Limited,8.28,18/10/2020
OCH,Olympia Capital Holdings Limited,2.14,18/10/2020
ORCH,Kenya Orchards Limited,11.05,18/10/2020
PAFR,Sanlam Kenya Plc,12.7,18/10/2020
PORT,East African Portland Cement Co. Ltd,16,18/10/2020
SASN,Sasini Tea and Coffee Limited,19,18/10/2020
SCAN,ScanGroup Limited,6.88,18/10/2020
SCBK,Standard Chartered Bank Limited,157.75,18/10/2020
SCOM,Safaricom Limited,30.1,18/10/2020
SGL,Standard Group Limited,18.1,18/10/2020
TCL,Trans Century Limited,1.53,18/10/2020
TOTL,Total Kenya Limited,23.75,18/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,15,18/10/2020
UCHM,Uchumi Supermarket Limited,0.28,18/10/2020
UMME,Umeme Limited,6.48,18/10/2020
UNGA,Unga Group Limited,30.65,18/10/2020
WTK,Williamson Tea Kenya Limited,140,18/10/2020
XPRS,Express Kenya Limited,4.5,18/10/2020
ABSA,Absa Bank Kenya Plc,9.5,19/10/2020 00:00
ARM,ARM Cement Limited,5.55,19/10/2020 00:00
BAMB,Bamburi Cement Limited,23.25,19/10/2020 00:00
BAT,British American Tobacco (Kenya) Ltd.,350,19/10/2020 00:00
BERG,Crown Paints Kenya Limited,42.5,19/10/2020 00:00
BKG,Bank of Kigali Group Limited,14,19/10/2020 00:00
BOC,BOC Kenya Limited,57,19/10/2020 00:00
BRIT,Britam Holdings Limited,7.5,19/10/2020 00:00
C&G,Car and General (Kenya) Limited,24,19/10/2020 00:00
CABL,East African Cables Limited,1.47,19/10/2020 00:00
CARB,Carbacid Investments Limited,8.4,19/10/2020 00:00
CFC,Stanbic Holdings Limited,84,19/10/2020 00:00
CFCI,Liberty Kenya Holdings Limited,7.84,19/10/2020 00:00
CIC,CIC Insurance Group Limited,2.24,19/10/2020 00:00
COOP,Co-operative Bank of Kenya Limited,11.85,19/10/2020 00:00
DCON,Deacons (East Africa) Plc,0.45,19/10/2020 00:00
DTK,Diamond Trust Bank Kenya Limited,62.5,19/10/2020 00:00
EABL,East African Breweries Limited,162,19/10/2020 00:00
EGAD,Eaagads Limited,13.25,19/10/2020 00:00
EQTY,Equity Group Holdings Limited,34.55,19/10/2020 00:00
EVRD,Eveready East Africa Limited,0.97,19/10/2020 00:00
FAHR,STANLIB Fahari Income REIT,5.38,19/10/2020 00:00
FIRE,Sameer Africa Limited,3.41,19/10/2020 00:00
FTGH,Flame Tree Group Holdings Limited,1.32,19/10/2020 00:00
GLD,NewGold Exchange Traded Fund,"1,970.00",19/10/2020 00:00
HAFR,Home Afrika Limited,0.39,19/10/2020 00:00
HFCK,Housing Finance Company Limited,3.86,19/10/2020 00:00
I&M,I&M Holdings Plc,43.65,19/10/2020 00:00
ICDC,Centum Investment Company Limited,18.5,19/10/2020 00:00
JUB,Jubilee Holdings Limited,270,19/10/2020 00:00
KAPC,Kapchorua Tea Company Limited,75,19/10/2020 00:00
KCB,KCB Bank Kenya Limited,37,19/10/2020 00:00
KEGN,Kenya Electricity Generating Co. Ltd.,5.24,19/10/2020 00:00
KNRE,Kenya Re-Insurance Corporation Ltd,2.26,19/10/2020 00:00
KPLC,Kenya Power & Lighting Co. Limited,1.73,19/10/2020 00:00
KPLC-P4,Kenya Power Pref. Shares at 4%,5,19/10/2020 00:00
KPLC-P7,Kenya Power Pref. Shares at 7%,6,19/10/2020 00:00
KQ,Kenya Airways Limited,3.83,19/10/2020 00:00
KUKZ,Kakuzi Limited,380,19/10/2020 00:00
KURV,Kurwitu Ventures Limited,"1,500.00",19/10/2020 00:00
LIMT,Limuru Tea Company Limited,400,19/10/2020 00:00
LKL,Longhorn Publishers Limited,4.7,19/10/2020 00:00
MSC,Mumias Sugar Company Limited,0.28,19/10/2020 00:00
NBK,National Bank of Kenya Limited,4.12,19/10/2020 00:00
NBV,Nairobi Business Ventures Ltd,0.71,19/10/2020 00:00
NIC,NIC Bank Limited,22.85,19/10/2020 00:00
NMG,Nation Media Group,15.6,19/10/2020 00:00
NSE,Nairobi Securities Exchange Limited,8.1,19/10/2020 00:00
OCH,Olympia Capital Holdings Limited,2.04,19/10/2020 00:00
ORCH,Kenya Orchards Limited,11.05,19/10/2020 00:00
PAFR,Sanlam Kenya Plc,12.5,19/10/2020 00:00
PORT,East African Portland Cement Co. Ltd,16,19/10/2020 00:00
SASN,Sasini Tea and Coffee Limited,19,19/10/2020 00:00
SCAN,ScanGroup Limited,6.82,19/10/2020 00:00
SCBK,Standard Chartered Bank Limited,159.5,19/10/2020 00:00
SCOM,Safaricom Limited,30.1,19/10/2020 00:00
SGL,Standard Group Limited,18.1,19/10/2020 00:00
TCL,Trans Century Limited,1.58,19/10/2020 00:00
TOTL,Total Kenya Limited,22.8,19/10/2020 00:00
TPSE,TPS Eastern Africa (Serena) Limited,16,19/10/2020 00:00
UCHM,Uchumi Supermarket Limited,0.3,19/10/2020 00:00
UMME,Umeme Limited,7,19/10/2020 00:00
UNGA,Unga Group Limited,30.65,19/10/2020 00:00
WTK,Williamson Tea Kenya Limited,139,19/10/2020 00:00
XPRS,Express Kenya Limited,4.5,19/10/2020 00:00
ABSA,Absa Bank Kenya Plc,9.5,20/10/2020 00:00
ARM,ARM Cement Limited,5.55,20/10/2020 00:00
BAMB,Bamburi Cement Limited,23.25,20/10/2020 00:00
BAT,British American Tobacco (Kenya) Ltd.,350,20/10/2020 00:00
BERG,Crown Paints Kenya Limited,42.5,20/10/2020 00:00
BKG,Bank of Kigali Group Limited,14,20/10/2020 00:00
BOC,BOC Kenya Limited,57,20/10/2020 00:00
BRIT,Britam Holdings Limited,7.5,20/10/2020 00:00
C&G,Car and General (Kenya) Limited,24,20/10/2020 00:00
CABL,East African Cables Limited,1.47,20/10/2020 00:00
CARB,Carbacid Investments Limited,8.4,20/10/2020 00:00
CFC,Stanbic Holdings Limited,84,20/10/2020 00:00
CFCI,Liberty Kenya Holdings Limited,7.84,20/10/2020 00:00
CIC,CIC Insurance Group Limited,2.24,20/10/2020 00:00
COOP,Co-operative Bank of Kenya Limited,11.85,20/10/2020 00:00
DCON,Deacons (East Africa) Plc,0.45,20/10/2020 00:00
DTK,Diamond Trust Bank Kenya Limited,62.5,20/10/2020 00:00
EABL,East African Breweries Limited,162,20/10/2020 00:00
EGAD,Eaagads Limited,13.25,20/10/2020 00:00
EQTY,Equity Group Holdings Limited,34.55,20/10/2020 00:00
EVRD,Eveready East Africa Limited,0.97,20/10/2020 00:00
FAHR,STANLIB Fahari Income REIT,5.38,20/10/2020 00:00
FIRE,Sameer Africa Limited,3.41,20/10/2020 00:00
FTGH,Flame Tree Group Holdings Limited,1.32,20/10/2020 00:00
GLD,NewGold Exchange Traded Fund,"1,970.00",20/10/2020 00:00
HAFR,Home Afrika Limited,0.39,20/10/2020 00:00
HFCK,Housing Finance Company Limited,3.86,20/10/2020 00:00
I&M,I&M Holdings Plc,43.65,20/10/2020 00:00
ICDC,Centum Investment Company Limited,18.5,20/10/2020 00:00
JUB,Jubilee Holdings Limited,270,20/10/2020 00:00
KAPC,Kapchorua Tea Company Limited,75,20/10/2020 00:00
KCB,KCB Bank Kenya Limited,37,20/10/2020 00:00
KEGN,Kenya Electricity Generating Co. Ltd.,5.24,20/10/2020 00:00
KNRE,Kenya Re-Insurance Corporation Ltd,2.26,20/10/2020 00:00
KPLC,Kenya Power & Lighting Co. Limited,1.73,20/10/2020 00:00
KPLC-P4,Kenya Power Pref. Shares at 4%,5,20/10/2020 00:00
KPLC-P7,Kenya Power Pref. Shares at 7%,6,20/10/2020 00:00
KQ,Kenya Airways Limited,3.83,20/10/2020 00:00
KUKZ,Kakuzi Limited,380,20/10/2020 00:00
KURV,Kurwitu Ventures Limited,"1,500.00",20/10/2020 00:00
LIMT,Limuru Tea Company Limited,400,20/10/2020 00:00
LKL,Longhorn Publishers Limited,4.7,20/10/2020 00:00
MSC,Mumias Sugar Company Limited,0.28,20/10/2020 00:00
NBK,National Bank of Kenya Limited,4.12,20/10/2020 00:00
NBV,Nairobi Business Ventures Ltd,0.71,20/10/2020 00:00
NIC,NIC Bank Limited,22.85,20/10/2020 00:00
NMG,Nation Media Group,15.6,20/10/2020 00:00
NSE,Nairobi Securities Exchange Limited,8.1,20/10/2020 00:00
OCH,Olympia Capital Holdings Limited,2.04,20/10/2020 00:00
ORCH,Kenya Orchards Limited,11.05,20/10/2020 00:00
PAFR,Sanlam Kenya Plc,12.5,20/10/2020 00:00
PORT,East African Portland Cement Co. Ltd,16,20/10/2020 00:00
SASN,Sasini Tea and Coffee Limited,19,20/10/2020 00:00
SCAN,ScanGroup Limited,6.82,20/10/2020 00:00
SCBK,Standard Chartered Bank Limited,159.5,20/10/2020 00:00
SCOM,Safaricom Limited,30.1,20/10/2020 00:00
SGL,Standard Group Limited,18.1,20/10/2020 00:00
TCL,Trans Century Limited,1.58,20/10/2020 00:00
TOTL,Total Kenya Limited,22.8,20/10/2020 00:00
TPSE,TPS Eastern Africa (Serena) Limited,16,20/10/2020 00:00
UCHM,Uchumi Supermarket Limited,0.3,20/10/2020 00:00
UMME,Umeme Limited,7,20/10/2020 00:00
UNGA,Unga Group Limited,30.65,20/10/2020 00:00
WTK,Williamson Tea Kenya Limited,139,20/10/2020 00:00
XPRS,Express Kenya Limited,4.5,20/10/2020 00:00
ABSA,Absa Bank Kenya Plc,9.5,21/10/2020
ARM,ARM Cement Limited,5.55,21/10/2020
BAMB,Bamburi Cement Limited,23.55,21/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349.25,21/10/2020
BERG,Crown Paints Kenya Limited,42,21/10/2020
BKG,Bank of Kigali Group Limited,14,21/10/2020
BOC,BOC Kenya Limited,59,21/10/2020
BRIT,Britam Holdings Limited,7.54,21/10/2020
C&G,Car and General (Kenya) Limited,25,21/10/2020
CABL,East African Cables Limited,1.49,21/10/2020
CARB,Carbacid Investments Limited,8.88,21/10/2020
CFC,Stanbic Holdings Limited,84,21/10/2020
CFCI,Liberty Kenya Holdings Limited,7.98,21/10/2020
CIC,CIC Insurance Group Limited,2.21,21/10/2020
COOP,Co-operative Bank of Kenya Limited,11.45,21/10/2020
DCON,Deacons (East Africa) Plc,0.45,21/10/2020
DTK,Diamond Trust Bank Kenya Limited,62.5,21/10/2020
EABL,East African Breweries Limited,160,21/10/2020
EGAD,Eaagads Limited,13.25,21/10/2020
EQTY,Equity Group Holdings Limited,34.55,21/10/2020
EVRD,Eveready East Africa Limited,0.91,21/10/2020
FAHR,STANLIB Fahari Income REIT,5.44,21/10/2020
FIRE,Sameer Africa Limited,3.47,21/10/2020
FTGH,Flame Tree Group Holdings Limited,1.32,21/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",21/10/2020
HAFR,Home Afrika Limited,0.42,21/10/2020
HFCK,Housing Finance Company Limited,3.98,21/10/2020
I&M,I&M Holdings Plc,43.65,21/10/2020
ICDC,Centum Investment Company Limited,18.5,21/10/2020
JUB,Jubilee Holdings Limited,274.25,21/10/2020
KAPC,Kapchorua Tea Company Limited,75,21/10/2020
KCB,KCB Bank Kenya Limited,37.1,21/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.28,21/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.25,21/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.73,21/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,21/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,21/10/2020
KQ,Kenya Airways Limited,3.83,21/10/2020
KUKZ,Kakuzi Limited,380,21/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",21/10/2020
LIMT,Limuru Tea Company Limited,400,21/10/2020
LKL,Longhorn Publishers Limited,4.7,21/10/2020
MSC,Mumias Sugar Company Limited,0.28,21/10/2020
NBK,National Bank of Kenya Limited,4.12,21/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,21/10/2020
NIC,NIC Bank Limited,22.9,21/10/2020
NMG,Nation Media Group,15.45,21/10/2020
NSE,Nairobi Securities Exchange Limited,8.44,21/10/2020
OCH,Olympia Capital Holdings Limited,1.92,21/10/2020
ORCH,Kenya Orchards Limited,11.05,21/10/2020
PAFR,Sanlam Kenya Plc,12.5,21/10/2020
PORT,East African Portland Cement Co. Ltd,16,21/10/2020
SASN,Sasini Tea and Coffee Limited,19,21/10/2020
SCAN,ScanGroup Limited,6.78,21/10/2020
SCBK,Standard Chartered Bank Limited,153.5,21/10/2020
SCOM,Safaricom Limited,30.25,21/10/2020
SGL,Standard Group Limited,19.9,21/10/2020
TCL,Trans Century Limited,1.58,21/10/2020
TOTL,Total Kenya Limited,22.85,21/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,16,21/10/2020
UCHM,Uchumi Supermarket Limited,0.3,21/10/2020
UMME,Umeme Limited,7,21/10/2020
UNGA,Unga Group Limited,30.65,21/10/2020
WTK,Williamson Tea Kenya Limited,137.5,21/10/2020
XPRS,Express Kenya Limited,4.5,21/10/2020
ABSA,Absa Bank Kenya Plc,9.46,22/10/2020
ARM,ARM Cement Limited,5.55,22/10/2020
BAMB,Bamburi Cement Limited,23.55,22/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349.25,22/10/2020
BERG,Crown Paints Kenya Limited,42,22/10/2020
BKG,Bank of Kigali Group Limited,14,22/10/2020
BOC,BOC Kenya Limited,59,22/10/2020
BRIT,Britam Holdings Limited,7.5,22/10/2020
C&G,Car and General (Kenya) Limited,25,22/10/2020
CABL,East African Cables Limited,1.5,22/10/2020
CARB,Carbacid Investments Limited,8.42,22/10/2020
CFC,Stanbic Holdings Limited,84,22/10/2020
CFCI,Liberty Kenya Holdings Limited,7.98,22/10/2020
CIC,CIC Insurance Group Limited,2.07,22/10/2020
COOP,Co-operative Bank of Kenya Limited,11.45,22/10/2020
DCON,Deacons (East Africa) Plc,0.45,22/10/2020
DTK,Diamond Trust Bank Kenya Limited,62.25,22/10/2020
EABL,East African Breweries Limited,160,22/10/2020
EGAD,Eaagads Limited,13.25,22/10/2020
EQTY,Equity Group Holdings Limited,34.5,22/10/2020
EVRD,Eveready East Africa Limited,0.92,22/10/2020
FAHR,STANLIB Fahari Income REIT,5.44,22/10/2020
FIRE,Sameer Africa Limited,3.47,22/10/2020
FTGH,Flame Tree Group Holdings Limited,1.4,22/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",22/10/2020
HAFR,Home Afrika Limited,0.44,22/10/2020
HFCK,Housing Finance Company Limited,3.98,22/10/2020
I&M,I&M Holdings Plc,43.65,22/10/2020
ICDC,Centum Investment Company Limited,18,22/10/2020
JUB,Jubilee Holdings Limited,275,22/10/2020
KAPC,Kapchorua Tea Company Limited,75,22/10/2020
KCB,KCB Bank Kenya Limited,37.25,22/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.24,22/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.23,22/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,22/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,22/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,22/10/2020
KQ,Kenya Airways Limited,3.83,22/10/2020
KUKZ,Kakuzi Limited,380,22/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",22/10/2020
LIMT,Limuru Tea Company Limited,400,22/10/2020
LKL,Longhorn Publishers Limited,4.53,22/10/2020
MSC,Mumias Sugar Company Limited,0.28,22/10/2020
NBK,National Bank of Kenya Limited,4.12,22/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,22/10/2020
NIC,NIC Bank Limited,22.9,22/10/2020
NMG,Nation Media Group,15.55,22/10/2020
NSE,Nairobi Securities Exchange Limited,8.4,22/10/2020
OCH,Olympia Capital Holdings Limited,1.92,22/10/2020
ORCH,Kenya Orchards Limited,11.05,22/10/2020
PAFR,Sanlam Kenya Plc,12.5,22/10/2020
PORT,East African Portland Cement Co. Ltd,16,22/10/2020
SASN,Sasini Tea and Coffee Limited,19,22/10/2020
SCAN,ScanGroup Limited,6.7,22/10/2020
SCBK,Standard Chartered Bank Limited,152.25,22/10/2020
SCOM,Safaricom Limited,30.65,22/10/2020
SGL,Standard Group Limited,19.9,22/10/2020
TCL,Trans Century Limited,1.65,22/10/2020
TOTL,Total Kenya Limited,22.85,22/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,16,22/10/2020
UCHM,Uchumi Supermarket Limited,0.3,22/10/2020
UMME,Umeme Limited,7,22/10/2020
UNGA,Unga Group Limited,30.65,22/10/2020
WTK,Williamson Tea Kenya Limited,137.5,22/10/2020
XPRS,Express Kenya Limited,4.5,22/10/2020
ABSA,Absa Bank Kenya Plc,9.5,23/10/2020
ARM,ARM Cement Limited,5.55,23/10/2020
BAMB,Bamburi Cement Limited,23.75,23/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349.25,23/10/2020
BERG,Crown Paints Kenya Limited,41.45,23/10/2020
BKG,Bank of Kigali Group Limited,13.05,23/10/2020
BOC,BOC Kenya Limited,59,23/10/2020
BRIT,Britam Holdings Limited,7.58,23/10/2020
C&G,Car and General (Kenya) Limited,25,23/10/2020
CABL,East African Cables Limited,1.59,23/10/2020
CARB,Carbacid Investments Limited,8.92,23/10/2020
CFC,Stanbic Holdings Limited,81.25,23/10/2020
CFCI,Liberty Kenya Holdings Limited,7.8,23/10/2020
CIC,CIC Insurance Group Limited,2.19,23/10/2020
COOP,Co-operative Bank of Kenya Limited,11.4,23/10/2020
DCON,Deacons (East Africa) Plc,0.45,23/10/2020
DTK,Diamond Trust Bank Kenya Limited,61,23/10/2020
EABL,East African Breweries Limited,157,23/10/2020
EGAD,Eaagads Limited,13.25,23/10/2020
